,text,airline_sentiment,demoji,cleaned,no_sw,wo_stopfreq,wo_stopfreq_lem
9185,@USAirways done it! Process initiated Saturday morning.  Can't get info with website issues &amp; inadequate phone coverage.  How 2 get update??,negative,@USAirways done it! Process initiated Saturday morning.  Can't get info with website issues &amp; inadequate phone coverage.  How 2 get update??, done it! process initiated saturday morning. can't get info with website issues &amp; inadequate phone coverage. how 2 get update??,it! process initiated saturday morning. info website issues &amp; inadequate phone coverage. 2 update??,it! process initiated saturday morning. info website issues inadequate phone coverage. update??,it! process initiated saturday morning. info website issues inadequate phone coverage. update??
9186,@USAirways yay for glitchy tracking system!  My bags made it to my destination and not Laguardia like the app said!,negative,@USAirways yay for glitchy tracking system!  My bags made it to my destination and not Laguardia like the app said!, yay for glitchy tracking system! my bags made it to my destination and not laguardia like the app said!,yay glitchy tracking system! bags made destination laguardia app said!,yay glitchy tracking system! bags made destination laguardia app said!,yay glitchy tracking system! bags made destination laguardia app said!
9187,@USAirways really???  NOT ONE OF THEM CAN BOOK DIVIDEND MILES TRAVEL - Literally on hold now since 9:50pm - it's 11:30pm #NoExcuses,negative,@USAirways really???  NOT ONE OF THEM CAN BOOK DIVIDEND MILES TRAVEL - Literally on hold now since 9:50pm - it's 11:30pm #NoExcuses, really??? not one of them can book dividend miles travel - literally on hold now since 9:50pm - it is 11:30pm #noexcuses,really??? book dividend miles travel - literally hold 9:50pm - 11:30pm #noexcuses,really??? book dividend miles travel - literally 9:50pm - 11:30pm #noexcuses,really??? book dividend miles travel - literally 9:50pm - 11:30pm #noexcuses
9188,"@USAirways yeah I know that but that doesn't get me my money back does it, everytime I fly with you something bad happens.",negative,"@USAirways yeah I know that but that doesn't get me my money back does it, everytime I fly with you something bad happens."," yeah i know that but that doesn't get me my money back does it, everytime i fly with you something bad happens.","money back it, everytime fly happens.","money back it, everytime fly happens.","money back it, everytime fly happens."
9190,@USAirways Everyone is sorry.  Don't have what I need for meeting tomorrow.  140 charac. isn't nearly enough to highlight your shortcomings,negative,@USAirways Everyone is sorry.  Don't have what I need for meeting tomorrow.  140 charac. isn't nearly enough to highlight your shortcomings, everyone is sorry. don't have what i need for meeting tomorrow. 140 charac. is not nearly enough to highlight your shortcomings,sorry. meeting tomorrow. 140 charac. highlight shortcomings,sorry. meeting tomorrow. 140 charac. highlight shortcomings,sorry. meeting tomorrow. 140 charac. highlight shortcomings
9191,@USAirways is the worst. I have to pay $200 just to NOT take my first flight in a round trip! Otherwise they'll Cancelled Flight my whole flight.,negative,@USAirways is the worst. I have to pay $200 just to NOT take my first flight in a round trip! Otherwise they'll Cancelled Flight my whole flight., is the worst. i have to pay $200 just to not take my first flight in a round trip! otherwise they'll cancelled flight my whole flight.,worst. pay $200 flight round trip! cancelled flight flight.,worst. pay $200 round trip! flight.,worst. pay $200 round trip! flight.
9192,"@USAirways if it was so important, why did I wait on hold and then get hung up on by your computer?  #disappointed",negative,"@USAirways if it was so important, why did I wait on hold and then get hung up on by your computer?  #disappointed"," if it was so important, why did i wait on hold and then get hung up on by your computer? #disappointed","important, wait hold hung computer? #disappointed","important, wait hung computer? #disappointed","important, wait hung computer? #disappointed"
9194,@USAirways terrible service,negative,@USAirways terrible service, terrible service,terrible service,terrible,terrible
9195,"@USAirways Disgusted with your poor customer service. U wrongfully remove &gt; 65,000 miles from my Dividend Miles and no live person,",negative,"@USAirways Disgusted with your poor customer service. U wrongfully remove &gt; 65,000 miles from my Dividend Miles and no live person,"," disgusted with your poor customer service. u wrongfully remove &gt; 65,000 miles from my dividend miles and no live person,","disgusted poor customer service. wrongfully remove &gt; 65,000 miles dividend miles live person,","disgusted poor service. wrongfully remove &gt; 65,000 miles dividend miles live person,","disgusted poor service. wrongfully remove &gt; 65,000 miles dividend miles live person,"
9196,@USAirways Please hold flight US 639 in Phoenix! I'm a weary traveler stuck on another flight because the tarmac is having issues!,negative,@USAirways Please hold flight US 639 in Phoenix! I'm a weary traveler stuck on another flight because the tarmac is having issues!, please hold flight us 639 in phoenix! i'm a weary traveler stuck on another flight because the tarmac is having issues!,hold flight 639 phoenix! weary traveler stuck flight tarmac issues!,639 phoenix! weary traveler stuck tarmac issues!,639 phoenix! weary traveler stuck tarmac issues!
9197,"@USAirways - No live person to speak with all day at Dividend Miles, after they wrongfully took over 65,000 miles out of my account.",negative,"@USAirways - No live person to speak with all day at Dividend Miles, after they wrongfully took over 65,000 miles out of my account."," - no live person to speak with all day at dividend miles, after they wrongfully took over 65,000 miles out of my account.","- live person speak day dividend miles, wrongfully 65,000 miles account.","- live person speak day dividend miles, wrongfully 65,000 miles account.","- live person speak day dividend miles, wrongfully 65,000 miles account."
9198,@USAirways my frustrations are the result of multiple experiences Late Flightly. Currently lost luggage. I want to talk to a real person.,negative,@USAirways my frustrations are the result of multiple experiences Late Flightly. Currently lost luggage. I want to talk to a real person., my frustrations are the result of multiple experiences late flightly. currently lost luggage. i want to talk to a real person.,frustrations result multiple experiences late flightly. currently lost luggage. talk real person.,frustrations result multiple experiences late flightly. currently lost luggage. talk real person.,frustrations result multiple experiences late flightly. currently lost luggage. talk real person.
9199,"@USAirways cust svc means nothing! So disappointed. Trying since 730a to speak to a human I get bad weather not bad service.
#socialtantrum",negative,"@USAirways cust svc means nothing! So disappointed. Trying since 730a to speak to a human I get bad weather not bad service.
#socialtantrum"," cust svc means nothing! so disappointed. trying since 730a to speak to a human i get bad weather not bad service.#socialtantrum",cust svc means nothing! disappointed. 730a speak human weather service. #socialtantrum,cust svc means nothing! disappointed. 730a speak human weather service. #socialtantrum,cust svc means nothing! disappointed. 730a speak human weather service. #socialtantrum
9200,"@USAirways yes, but I had to pay more for another flight to get me out tomorrow since there weren't anymore for tonight...not fun :-/",negative,"@USAirways yes, but I had to pay more for another flight to get me out tomorrow since there weren't anymore for tonight...not fun :-/"," yes, but i had to pay more for another flight to get me out tomorrow since there were not anymore for tonight...not fun :-/","yes, pay flight tomorrow anymore tonight...not fun :-/","yes, pay tomorrow anymore tonight...not fun :-/","yes, pay tomorrow anymore tonight...not fun :-/"
9201,"@USAirways Well, that's a problem considering I need to book a flight tonight for this weekend... is there anything you can do?",negative,"@USAirways Well, that's a problem considering I need to book a flight tonight for this weekend... is there anything you can do?"," well, that's a problem considering i need to book a flight tonight for this weekend... is there anything you can do?","well, problem considering book flight tonight weekend... do?","well, problem considering book tonight weekend... do?","well, problem considering book tonight weekend... do?"
9203,@USAirways it is my fault but i bought online and i get twice why i buy twice it fault but i bougth ticket jfk to mccaren and usairways ++,negative,@USAirways it is my fault but i bought online and i get twice why i buy twice it fault but i bougth ticket jfk to mccaren and usairways ++, it is my fault but i bought online and i get twice why i buy twice it fault but i bougth ticket jfk to mccaren and usairways ++,fault bought online buy fault bougth ticket jfk mccaren usairways ++,fault bought online buy fault bougth ticket jfk mccaren usairways ++,fault bought online buy fault bougth ticket jfk mccaren usairways ++
9204,"@usairways  US1799 CLT-&gt;SFO in first no desert, no snack basket. Incoming was on time ? What’s up?",negative,"@usairways  US1799 CLT-&gt;SFO in first no desert, no snack basket. Incoming was on time ? What’s up?"," us1799 clt-&gt;sfo in first no desert, no snack basket. incoming was on time ? what’s up?","us1799 clt-&gt;sfo desert, snack basket. incoming time ? what’s up?","us1799 clt-&gt;sfo desert, snack basket. incoming time ? what’s up?","us1799 clt-&gt;sfo desert, snack basket. incoming time ? what’s up?"
9206,"@USAirways was transf, held 15-18 min more b4 agent answered and helped. By time I got to person fare I'd seen was gone.  Had to get supv.",negative,"@USAirways was transf, held 15-18 min more b4 agent answered and helped. By time I got to person fare I'd seen was gone.  Had to get supv."," was transf, held 15-18 min more b4 agent answered and helped. by time i got to person fare i'd seen was gone. had to get supv.","transf, held 15-18 b4 agent answered helped. time person fare gone. supv.","transf, held 15-18 b4 agent answered helped. time person fare gone. supv.","transf, held 15-18 b4 agent answered helped. time person fare gone. supv."
9207,@USAirways you are the actual worst.  You have zero respect for your passengers. I'm officially done flying with you.,negative,@USAirways you are the actual worst.  You have zero respect for your passengers. I'm officially done flying with you., you are the actual worst. you have zero respect for your passengers. i'm officially done flying with you.,actual worst. zero respect passengers. officially flying you.,actual worst. zero respect passengers. officially flying you.,actual worst. zero respect passengers. officially flying you.
9208,@USAirways has the worst customer service line.  I've called them 8 times today and not once was I able to talk to a real human being.,negative,@USAirways has the worst customer service line.  I've called them 8 times today and not once was I able to talk to a real human being., has the worst customer service line. i've called them 8 times today and not once was i able to talk to a real human being.,worst customer service line. called 8 times today talk real human being.,worst line. called 8 times today talk real human being.,worst line. called 8 times today talk real human being.
9209,@usairways that wasn't the issue. Someone finally helped on the phone. Now theres a website error that won't let me process my request. SMH,negative,@usairways that wasn't the issue. Someone finally helped on the phone. Now theres a website error that won't let me process my request. SMH, that was not the issue. someone finally helped on the phone. now theres a website error that will not let me process my request. smh,issue. finally helped phone. website error process request. smh,issue. finally helped phone. website error process request. smh,issue. finally helped phone. website error process request. smh
9210,@USAirways you say to call travel agency and they say we cant refund because usairways didnt accept this.,negative,@USAirways you say to call travel agency and they say we cant refund because usairways didnt accept this., you say to call travel agency and they say we cant refund because usairways didnt accept this.,call travel agency refund usairways accept this.,travel agency refund usairways accept this.,travel agency refund usairways accept this.
9211,@USAirways ... I f@$%ing hate you.,negative,@USAirways ... I f@$%ing hate you., ... i f@$%ing hate you.,... f@$%ing hate you.,... f@$%ing hate you.,... f@$%ing hate you.
9212,@USAirways travel agency said that if usairways accept we will refund money i dont understand why dont u refund,negative,@USAirways travel agency said that if usairways accept we will refund money i dont understand why dont u refund, travel agency said that if usairways accept we will refund money i dont understand why dont u refund,travel agency usairways accept refund money understand refund,travel agency usairways accept refund money understand refund,travel agency usairways accept refund money understand refund
9213,"@USAirways Yes &amp; have already spent 1K+ on the card &amp; paid the $89 annual fee, but the 50K miles have not shown up. Want to fly AUS --&gt; ATL",negative,"@USAirways Yes &amp; have already spent 1K+ on the card &amp; paid the $89 annual fee, but the 50K miles have not shown up. Want to fly AUS --&gt; ATL"," yes &amp; have already spent 1k+ on the card &amp; paid the $89 annual fee, but the 50k miles have not shown up. want to fly aus --&gt; atl","&amp; spent 1k+ card &amp; paid $89 annual fee, 50k miles shown up. fly --&gt; atl","spent 1k+ card paid $89 annual fee, 50k miles shown up. fly --&gt; atl","spent 1k+ card paid $89 annual fee, 50k miles shown up. fly --&gt; atl"
9214,@USAirways no i use to skyscanner and travel agency and i called u . You said you should call travel agency but,negative,@USAirways no i use to skyscanner and travel agency and i called u . You said you should call travel agency but, no i use to skyscanner and travel agency and i called u . you said you should call travel agency but,skyscanner travel agency called . call travel agency,skyscanner travel agency called . travel agency,skyscanner travel agency called . travel agency
9215,"@USAirways finally spoke with someone. I have to email the refund dept. I love you guys, but 6 hours in line to be told no dice sucks.",negative,"@USAirways finally spoke with someone. I have to email the refund dept. I love you guys, but 6 hours in line to be told no dice sucks."," finally spoke with someone. i have to email the refund dept. i love you guys, but 6 hours in line to be told no dice sucks.","finally spoke someone. email refund dept. love guys, 6 hours line told dice sucks.","finally spoke someone. email refund dept. love guys, 6 line told dice sucks.","finally spoke someone. email refund dept. love guys, 6 line told dice sucks."
9217,@USAirways well I thought they had hours ago but just found out that no I do not have a seat,negative,@USAirways well I thought they had hours ago but just found out that no I do not have a seat, well i thought they had hours ago but just found out that no i do not have a seat,hours ago found seat,ago found seat,ago found seat
9218,"@USAirways : Was on flight 2046 BOS-CLT on 2/22, awful experience, exit row seat was so narrow that I could not move my legs! Unacceptable.",negative,"@USAirways : Was on flight 2046 BOS-CLT on 2/22, awful experience, exit row seat was so narrow that I could not move my legs! Unacceptable."," : was on flight 2046 bos-clt on 2/22, awful experience, exit row seat was so narrow that i could not move my legs! unacceptable.",": flight 2046 bos-clt 2/22, awful experience, exit row seat narrow move legs! unacceptable.",": 2046 bos-clt 2/22, awful experience, exit row seat narrow move legs! unacceptable.",": 2046 bos-clt 2/22, awful experience, exit row seat narrow move legs! unacceptable."
9219,"@USAirways yes, but we were answered and put back on hold while they were to check on our request..  50 mins Late Flightr nothing!",negative,"@USAirways yes, but we were answered and put back on hold while they were to check on our request..  50 mins Late Flightr nothing!"," yes, but we were answered and put back on hold while they were to check on our request.. 50 mins late flightr nothing!","yes, answered put back hold check request.. 50 mins late flightr nothing!","yes, answered put back check request.. 50 mins late flightr nothing!","yes, answered put back check request.. 50 mins late flightr nothing!"
9220,@USAirways   Not good. On hold for over an hour. http://t.co/wSgYckCIIO,negative,@USAirways   Not good. On hold for over an hour. http://t.co/wSgYckCIIO,  not good. on hold for over an hour. http://t.co/wsgyckciio,good. hold hour. http://t.co/wsgyckciio,good. hour. http://t.co/wsgyckciio,good. hour. http://t.co/wsgyckciio
9224,@USAirways I've been on hold for over an hour.  Not doing so well in the customer service department.  #weak,negative,@USAirways I've been on hold for over an hour.  Not doing so well in the customer service department.  #weak, i've been on hold for over an hour. not doing so well in the customer service department. #weak,hold hour. customer service department. #weak,hour. department. #weak,hour. department. #weak
9225,@USAirways - 53 minutes on hold for a reservation?,negative,@USAirways - 53 minutes on hold for a reservation?, - 53 minutes on hold for a reservation?,- 53 minutes hold reservation?,- 53 minutes reservation?,- 53 minutes reservation?
9226,@USAirways @joyadventuremom there are breastfeeding momma's watching this story all over the country! Better work on a faster response :),negative,@USAirways @joyadventuremom there are breastfeeding momma's watching this story all over the country! Better work on a faster response :), there are breastfeeding momma's watching this story all over the country! better work on a faster response :),breastfeeding momma's watching story country! work faster response :),breastfeeding momma's watching story country! work faster response :),breastfeeding momma's watching story country! work faster response :)
9227,@USAirways #DividendRewards Urgently need to speak with a CS rep. My 50K miles havent shown &amp; I've fulfilled all reqs. Flight Booking Problems flights today,negative,@USAirways #DividendRewards Urgently need to speak with a CS rep. My 50K miles havent shown &amp; I've fulfilled all reqs. Flight Booking Problems flights today, #dividendrewards urgently need to speak with a cs rep. my 50k miles havent shown &amp; i've fulfilled all reqs. flight booking problems flights today,#dividendrewards urgently speak cs rep. 50k miles shown &amp; fulfilled reqs. flight booking problems flights today,#dividendrewards urgently speak cs rep. 50k miles shown fulfilled reqs. booking problems flights today,#dividendrewards urgently speak cs rep. 50k miles shown fulfilled reqs. booking problems flights today
9228,@usairways I've been on hold for over an hour only b/c my CC miles aren't showing up. What a mediocre combo of cc &amp; airline #SwitchingBoth,negative,@usairways I've been on hold for over an hour only b/c my CC miles aren't showing up. What a mediocre combo of cc &amp; airline #SwitchingBoth, i've been on hold for over an hour only b/c my cc miles aren't showing up. what a mediocre combo of cc &amp; airline #switchingboth,hold hour b/c cc miles showing up. mediocre combo cc &amp; airline #switchingboth,hour b/c cc miles showing up. mediocre combo cc airline #switchingboth,hour b/c cc miles showing up. mediocre combo cc airline #switchingboth
9229,@USAirways I am a premium #DividendMiles #cardholder. Unacceptable 4 you to #hangup my #customerservice call twice after putting me on hold.,negative,@USAirways I am a premium #DividendMiles #cardholder. Unacceptable 4 you to #hangup my #customerservice call twice after putting me on hold., i am a premium #dividendmiles #cardholder. unacceptable 4 you to #hangup my #customerservice call twice after putting me on hold.,premium #dividendmiles #cardholder. unacceptable 4 #hangup #customerservice call putting hold.,premium #dividendmiles #cardholder. unacceptable 4 #hangup #customerservice putting hold.,premium #dividendmiles #cardholder. unacceptable 4 #hangup #customerservice putting hold.
9230,@USAirways I bougth ticket same fligths twice and you dont refund money it is big problem other company refund money why dont u pay back,negative,@USAirways I bougth ticket same fligths twice and you dont refund money it is big problem other company refund money why dont u pay back, i bougth ticket same fligths twice and you dont refund money it is big problem other company refund money why dont u pay back,bougth ticket fligths refund money big problem company refund money pay back,bougth ticket fligths refund money big problem company refund money pay back,bougth ticket fligths refund money big problem company refund money pay back
9231,@USAirways @AmericanAir now this is beyond ridiculous. Some steering problem delays us again. #neveragain  it's no wonder you had to sell,negative,@USAirways @AmericanAir now this is beyond ridiculous. Some steering problem delays us again. #neveragain  it's no wonder you had to sell, now this is beyond ridiculous. some steering problem delays us again. #neveragain  it is no wonder you had to sell,ridiculous. steering problem delays again. #neveragain wonder sell,ridiculous. steering problem delays again. #neveragain wonder sell,ridiculous. steering problem delays again. #neveragain wonder sell
9232,"@USAirways hi, Im trying to speak with someone to book travel for a minor. The phone keeps disconnecting. Please advise. Website wont allow.",negative,"@USAirways hi, Im trying to speak with someone to book travel for a minor. The phone keeps disconnecting. Please advise. Website wont allow."," hi, im trying to speak with someone to book travel for a minor. the phone keeps disconnecting. please advise. website wont allow.","hi, speak book travel minor. phone disconnecting. advise. website allow.","hi, speak book travel minor. phone disconnecting. advise. website allow.","hi, speak book travel minor. phone disconnecting. advise. website allow."
9233,@USAirways did a pre schooler develop your app? The thing crashes every single time.,negative,@USAirways did a pre schooler develop your app? The thing crashes every single time., did a pre schooler develop your app? the thing crashes every single time.,pre schooler develop app? crashes single time.,pre schooler develop app? crashes single time.,pre schooler develop app? crashes single time.
9234,@USAirways and @FlyKnoxville - bad weather should not be an excuse for not following established luggage procedures. #NoClothesNoInfo,negative,@USAirways and @FlyKnoxville - bad weather should not be an excuse for not following established luggage procedures. #NoClothesNoInfo, and - bad weather should not be an excuse for not following established luggage procedures. #noclothesnoinfo,- weather excuse established luggage procedures. #noclothesnoinfo,- weather excuse established luggage procedures. #noclothesnoinfo,- weather excuse established luggage procedures. #noclothesnoinfo
9235,@USAirways On hold for going on 40 minutes after spending 10 hours delayed in Denver cause of a broken plane. Thanks guys.,negative,@USAirways On hold for going on 40 minutes after spending 10 hours delayed in Denver cause of a broken plane. Thanks guys., on hold for going on 40 minutes after spending 10 hours delayed in denver cause of a broken plane. thanks guys.,hold 40 minutes spending 10 hours delayed denver broken plane. guys.,40 minutes spending 10 delayed denver broken plane. guys.,40 minutes spending 10 delayed denver broken plane. guys.
9236,@USAirways #FAILINGYOURCUSTOMER ONE BY ONE,negative,@USAirways #FAILINGYOURCUSTOMER ONE BY ONE, #failingyourcustomer one by one,#failingyourcustomer,#failingyourcustomer,#failingyourcustomer
9237,@USAirways @PhilaCarService looks like a long trip from cancun to philly? 9 hours Late Flight? Seriously?,negative,@USAirways @PhilaCarService looks like a long trip from cancun to philly? 9 hours Late Flight? Seriously?, looks like a long trip from cancun to philly? 9 hours late flight? seriously?,long trip cancun philly? 9 hours late flight? seriously?,long trip cancun philly? 9 late flight? seriously?,long trip cancun philly? 9 late flight? seriously?
9238,@USAirways. Yet another delay/missed connection....and your customer service has an attitude with me? Wow.,negative,@USAirways. Yet another delay/missed connection....and your customer service has an attitude with me? Wow.,. yet another delay/missed connection....and your customer service has an attitude with me? wow.,. delay/missed connection....and customer service attitude me? wow.,. delay/missed connection....and attitude me? wow.,. delay/missed connection....and attitude me? wow.
9239,"@USAirways 1,223.22 of unusable funds. Will not book with you again. #usairwaysfailscustomers",negative,"@USAirways 1,223.22 of unusable funds. Will not book with you again. #usairwaysfailscustomers"," 1,223.22 of unusable funds. will not book with you again. #usairwaysfailscustomers","1,223.22 unusable funds. book again. #usairwaysfailscustomers","1,223.22 unusable funds. book again. #usairwaysfailscustomers","1,223.22 unusable funds. book again. #usairwaysfailscustomers"
9241,@USAirways #NoService good luck trying to reach a human!  Twice sat on hold for over 50 mins...  #neveragain,negative,@USAirways #NoService good luck trying to reach a human!  Twice sat on hold for over 50 mins...  #neveragain, #noservice good luck trying to reach a human! twice sat on hold for over 50 mins... #neveragain,#noservice luck reach human! sat hold 50 mins... #neveragain,#noservice luck reach human! sat 50 mins... #neveragain,#noservice luck reach human! sat 50 mins... #neveragain
9242,@USAirways every single time i fly you guys i am delayed at least 30 minutes. Every time. On flight 5612 out of #CLT to nola.,negative,@USAirways every single time i fly you guys i am delayed at least 30 minutes. Every time. On flight 5612 out of #CLT to nola., every single time i fly you guys i am delayed at least 30 minutes. every time. on flight 5612 out of #clt to nola.,single time fly guys delayed 30 minutes. time. flight 5612 #clt nola.,single time fly guys delayed 30 minutes. time. 5612 #clt nola.,single time fly guys delayed 30 minutes. time. 5612 #clt nola.
9243,@USAirways is it ok for a flight attendant to talk nasty about passengers while they go get drinks by the restroom? I was shocked listening,negative,@USAirways is it ok for a flight attendant to talk nasty about passengers while they go get drinks by the restroom? I was shocked listening, is it ok for a flight attendant to talk nasty about passengers while they go get drinks by the restroom? i was shocked listening,flight attendant talk nasty passengers drinks restroom? shocked listening,attendant talk nasty passengers drinks restroom? shocked listening,attendant talk nasty passengers drinks restroom? shocked listening
9245,@USAirways changed our flight 6 times in 1 trip. Bumped to @Delta now &amp; having great experience. Never. Flying. US Air again. Never.,negative,@USAirways changed our flight 6 times in 1 trip. Bumped to @Delta now &amp; having great experience. Never. Flying. US Air again. Never., changed our flight 6 times in 1 trip. bumped to now &amp; having great experience. never. flying. us air again. never.,changed flight 6 times 1 trip. bumped &amp; great experience. never. flying. air again. never.,changed 6 times 1 trip. bumped great experience. never. flying. air again. never.,changed 6 times 1 trip. bumped great experience. never. flying. air again. never.
9246,@USAirways I can't wait to never fly with you again. Always delayed. Always lose my bag. Rudest people on the planet. Southwest is the best,negative,@USAirways I can't wait to never fly with you again. Always delayed. Always lose my bag. Rudest people on the planet. Southwest is the best, i can't wait to never fly with you again. always delayed. always lose my bag. rudest people on the planet. southwest is the best,wait fly again. delayed. lose bag. rudest planet. southwest,wait fly again. delayed. lose bag. rudest planet. southwest,wait fly again. delayed. lose bag. rudest planet. southwest
9248,@USAirways sat on the ramp for 45 min and missed my connection. No one seems to concerned at usairways.,negative,@USAirways sat on the ramp for 45 min and missed my connection. No one seems to concerned at usairways., sat on the ramp for 45 min and missed my connection. no one seems to concerned at usairways.,sat ramp 45 missed connection. concerned usairways.,sat ramp 45 missed connection. concerned usairways.,sat ramp 45 missed connection. concerned usairways.
9249,@USAirways It's very difficult to work with Baggage claims when they don't answer the phone,negative,@USAirways It's very difficult to work with Baggage claims when they don't answer the phone, it's very difficult to work with baggage claims when they do not answer the phone,difficult work baggage claims answer phone,difficult work baggage claims answer phone,difficult work baggage claims answer phone
9250,@USAirways I lost an ID on your plane and having trouble finding a contact for your lost and found in Cleveland Hopkins Airport. Please Help,negative,@USAirways I lost an ID on your plane and having trouble finding a contact for your lost and found in Cleveland Hopkins Airport. Please Help, i lost an id on your plane and having trouble finding a contact for your lost and found in cleveland hopkins airport. please help,lost id plane trouble finding contact lost found cleveland hopkins airport.,lost id trouble finding contact lost found cleveland hopkins airport.,lost id trouble finding contact lost found cleveland hopkins airport.
9251,@USAirways I have better Intel than she does!  She said plane is due in at 630.  Flightaware and your own app say 645,negative,@USAirways I have better Intel than she does!  She said plane is due in at 630.  Flightaware and your own app say 645, i have better intel than she does! she said plane is due in at 630. flightaware and your own app say 645,intel does! plane due 630. flightaware app 645,intel does! due 630. flightaware app 645,intel does! due 630. flightaware app 645
9252,"@USAirways not likely, flightaware says plane is still in Durango and hasn't departed.",negative,"@USAirways not likely, flightaware says plane is still in Durango and hasn't departed."," not likely, flightaware says plane is still in durango and has not departed.","likely, flightaware plane durango departed.","likely, flightaware durango departed.","likely, flightaware durango departed."
9253,"Too little, too Late Flight. You suck RT @USAirways: @mitchsunderland Oh no, Mitchell. Our agents are happy to offer you available options.",negative,"Too little, too Late Flight. You suck RT @USAirways: @mitchsunderland Oh no, Mitchell. Our agents are happy to offer you available options.","too little, too late flight. you suck rt : oh no, mitchell. our agents are happy to offer you available options.","little, late flight. suck rt : no, mitchell. agents happy offer available options.","little, late flight. suck rt : no, mitchell. agents happy offer available options.","little, late flight. suck rt : no, mitchell. agents happy offer available options."
9255,"@USAirways should, but didn’t.",negative,"@USAirways should, but didn’t."," should, but didn’t.","should, didn’t.","should, didn’t.","should, didn’t."
9259,@USAirways i have been patient.. especially the first time. i will never fly with you again,negative,@USAirways i have been patient.. especially the first time. i will never fly with you again, i have been patient.. especially the first time. i will never fly with you again,patient.. especially time. fly,patient.. especially time. fly,patient.. especially time. fly
9260,@USAirways seriously? Every flight I have had the past 2 days has been delayed. Every single one. Terrible,negative,@USAirways seriously? Every flight I have had the past 2 days has been delayed. Every single one. Terrible, seriously? every flight i have had the past 2 days has been delayed. every single one. terrible,seriously? flight past 2 days delayed. single one. terrible,seriously? past days delayed. single one. terrible,seriously? past days delayed. single one. terrible
9261,@USAirways I just want to be heard and to discuss the many issues on my trip,negative,@USAirways I just want to be heard and to discuss the many issues on my trip, i just want to be heard and to discuss the many issues on my trip,heard discuss issues trip,heard discuss issues trip,heard discuss issues trip
9262,@USAirways what's up with flight 5545 no gate agent or plane at PHX B18?  Nice customer service.,negative,@USAirways what's up with flight 5545 no gate agent or plane at PHX B18?  Nice customer service., what is up with flight 5545 no gate agent or plane at phx b18? nice customer service.,flight 5545 gate agent plane phx b18? nice customer service.,5545 gate agent phx b18? nice service.,5545 gate agent phx b18? nice service.
9263,@USAirways very embarrassing.,negative,@USAirways very embarrassing., very embarrassing.,embarrassing.,embarrassing.,embarrassing.
9264,@USAirways I’m still disappointed that it is apparently ok for a Flight Attendant who isn’t up on current policy to argue with a traveler.,negative,@USAirways I’m still disappointed that it is apparently ok for a Flight Attendant who isn’t up on current policy to argue with a traveler., i am still disappointed that it is apparently ok for a flight attendant who isn’t up on current policy to argue with a traveler.,disappointed apparently flight attendant isn’t current policy argue traveler.,disappointed apparently attendant isn’t current policy argue traveler.,disappointed apparently attendant isn’t current policy argue traveler.
9265,@USAirways yes I know the industry procedure on baggage. Thanks for helping..... 😉 what about the impossible connection that started this?,negative,@USAirways yes I know the industry procedure on baggage. Thanks for helping..... :winking_face: what about the impossible connection that started this?, yes i know the industry procedure on baggage. thanks for helping..... :winking_face: what about the impossible connection that started this?,industry procedure baggage. helping..... :winking_face: impossible connection started this?,industry procedure baggage. helping..... :winking_face: impossible connection started this?,industry procedure baggage. helping..... :winking_face: impossible connection started this?
9266,@USAirways I agree but per the captain this issue happened before boarding &amp; we all sat in the plane for almost 2 hrs,negative,@USAirways I agree but per the captain this issue happened before boarding &amp; we all sat in the plane for almost 2 hrs, i agree but per the captain this issue happened before boarding &amp; we all sat in the plane for almost 2 hrs,agree captain issue happened boarding &amp; sat plane 2 hrs,agree captain issue happened boarding sat hrs,agree captain issue happened boarding sat hrs
9267,@USAirways and despite tailwind… Will still be Late Flight.,negative,@USAirways and despite tailwind… Will still be Late Flight., and despite tailwind… will still be late flight.,despite tailwind… late flight.,despite tailwind… late flight.,despite tailwind… late flight.
9268,@USAirways 1500 characters are not enough to convey the issue. Was directed to emailmailto:customer.relations@usairways.com unmonitored. BAD,negative,@USAirways 1500 characters are not enough to convey the issue. Was directed to emailmailto:customer.relations@usairways.com unmonitored. BAD, 1500 characters are not enough to convey the issue. was directed to emailmailto:customer.relations.com unmonitored. bad,1500 characters convey issue. directed emailmailto:customer.relations.com unmonitored.,1500 characters convey issue. directed emailmailto:customer.relations.com unmonitored.,1500 characters convey issue. directed emailmailto:customer.relations.com unmonitored.
9270,"@USAirways i have and you have not been able to locate them, its insane. i trust you and PAY you to look after my things and you lost them.",negative,"@USAirways i have and you have not been able to locate them, its insane. i trust you and PAY you to look after my things and you lost them."," i have and you have not been able to locate them, its insane. i trust you and pay you to look after my things and you lost them.","locate them, insane. trust pay things lost them.","locate them, insane. trust pay things lost them.","locate them, insane. trust pay things lost them."
9271,@USAirways and yet the Flight Attendant argued with me over Exec Plat benefits...,negative,@USAirways and yet the Flight Attendant argued with me over Exec Plat benefits..., and yet the flight attendant argued with me over exec plat benefits...,flight attendant argued exec plat benefits...,attendant argued exec plat benefits...,attendant argued exec plat benefits...
